slug,title,short_description,long_description,icon_name,category,price_label,price_value,duration_label,feature_list_json,display_order,is_active
paramedic-home-visit,Paramedic Home Visit,"Trained paramedic consultation at home.","Trained paramedics for consultation, vitals, and initial assessment at your doorstep.",stethoscope,now,"Starting at",499,15 mins,"[""Vitals check"",""Initial assessment"",""Doorstep response""]",10,true
nursing-and-injections,Nursing and Injections,"Nursing procedures at home.","IV administration, injections, and dressing support by trained nursing staff.",syringe,now,"Starting at",349,Per visit,"[""IV administration"",""Injections"",""Wound dressing""]",20,true
vitals-monitoring,Vitals Monitoring,"Routine monitoring for chronic and acute cases.","BP, SpO2, temperature and sugar monitoring with documented records.",activity,now,"Starting at",199,Per check,"[""BP and SpO2"",""Temperature"",""Sugar monitoring""]",30,true
lab-sample-collection,Lab Sample Collection,"Samples collected from home.","Blood and other samples collected at home with digital reports.",test-tube,now,"Collection fee",99,"Plus lab fees","[""Doorstep sample collection"",""Digital reports"",""Fast scheduling""]",40,true
ecg-at-home,ECG at Home,"12-lead ECG with report.","ECG at home with immediate digital report sharing.",heart-pulse,now,"Starting at",599,"With report","[""12-lead ECG"",""Digital report"",""Home convenience""]",50,true
teleconsultation,Teleconsultation,"Video consult with MBBS doctors.","24/7 virtual consultations with prescription and follow-up guidance.",video,services,"Starting at",199,Per session,"[""Video consult"",""Digital prescription"",""Follow-up""]",60,true
chronic-care-management,Chronic Care Management,"Longitudinal support for chronic conditions.","Structured support programs for diabetes, hypertension, and other chronic conditions.",activity,services,Custom plans,,Monthly,"[""Regular monitoring"",""Adherence support"",""Risk alerts""]",70,true
homecare-services,Homecare Services,"Doctor and nursing visits at home.","Comprehensive in-home care by verified healthcare professionals.",home,services,"Starting at",499,Per visit,"[""Doctor visits"",""Nursing support"",""Vitals tracking""]",80,true
pediatric-care,Pediatric Care,"Child-focused doorstep care.","Family-friendly pediatric care with home convenience.",baby,services,"Starting at",499,Per visit,"[""Child consult"",""Follow-up advice"",""Family guidance""]",90,true
elderly-care,Elderly Care,"Senior care with continuity.","Specialized support for senior citizens, including regular monitoring.",heart,services,"Starting at",499,Per visit,"[""Senior support"",""Medication guidance"",""Routine monitoring""]",100,true
